State,District,Latitude,Longitude,District code,Population,Households_with_Internet,literacy_rate,sex_ratio,Percentage of Poor
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612.0,2159775.0,9155.0,69.0,998.0,0.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453.0,704524.0,554.0,54.0,1002.0,27.796643
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16.0,409936.0,596.0,53.0,919.0,13.803212
0,Dohad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.806336
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362.0,1321442.0,1193.0,51.0,977.0,26.539828
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124.0,1388552.0,1477.0,49.0,994.0,0.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409.0,3343872.0,16141.0,69.0,988.0,0.0
Sikkim,East,27.29600352941175,88.74908392156858,93.0,1709346.0,80037.0,79.0,884.0,0.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294.0,317917.0,288.0,60.0,972.0,19.178094
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545.0,5154296.0,22411.0,64.0,1006.0,0.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247.0,78690.0,57.0,49.0,1029.0,19.087748
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298.0,825922.0,5032.0,70.0,1011.0,0.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251.0,99214.0,450.0,63.0,980.0,0.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595.0,3282388.0,88737.0,87.0,1027.0,0.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610.0,2251744.0,18604.0,66.0,993.0,0.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201.0,1774480.0,2635.0,59.0,873.0,0.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161.0,1581810.0,2964.0,67.0,870.0,0.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177.0,2470996.0,4746.0,59.0,962.0,0.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88.0,1809733.0,43437.0,70.0,873.0,0.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45.0,617508.0,4348.0,62.0,890.0,0.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159.0,1885204.0,2624.0,58.0,874.0,0.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78.0,942011.0,3210.0,59.0,902.0,0.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40.0,600163.0,5138.0,71.0,871.0,0.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172.0,2632733.0,3385.0,57.0,901.0,0.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147.0,2498156.0,5834.0,61.0,875.0,0.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43.0,2029074.0,10042.0,60.0,893.0,4.670667
Karnataka,Gadag,15.507128256880746,75.64861302752298,561.0,1064570.0,3373.0,66.0,982.0,0.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389.0,577817.0,635.0,45.0,1043.0,0.0
Gujarat,Gandhinagar,23.19367979002625,72.67221679790026,473.0,1391753.0,12107.0,74.0,923.0,0.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99.0,1969168.0,6295.0,61.0,887.0,0.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388.0,3529031.0,9049.0,63.0,983.0,0.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346.0,1322784.0,565.0,49.0,935.0,0.0
Uttar Pradesh,Gautam Buddha Nagar,28.39331103896104,77.52462467532465,141.0,1648115.0,53181.0,68.0,851.0,0.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236.0,4391418.0,6856.0,52.0,937.0,0.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140.0,4681645.0,78116.0,67.0,881.0,0.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195.0,3620268.0,5309.0,61.0,952.0,0.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349.0,2445474.0,1944.0,51.0,944.0,0.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302.0,1008183.0,1364.0,56.0,964.0,19.505473
Jharkhand,Godda,24.8189,87.2941735483871,351.0,1313551.0,874.0,46.0,938.0,0.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313.0,1066888.0,3073.0,68.0,964.0,0.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183.0,3433919.0,4313.0,49.0,921.0,0.0
Maharashtra,Gondiya,21.225008411215,80.17522698598128,507.0,1322507.0,2866.0,76.0,999.0,0.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217.0,2562012.0,3707.0,54.0,1021.0,0.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188.0,4440895.0,14597.0,61.0,950.0,0.0
